time,value
2016-07-20 12:28:47,982.3457792207793
2016-07-20 13:37:50,979.099025974026
2016-07-20 14:46:53,972.6055194805194
2016-07-20 17:05:00,946.6314935064936
2016-07-20 18:14:03,936.8912337662338
2016-07-20 19:23:06,930.3977272727273
2016-07-20 20:32:09,920.6574675324675
2016-07-20 21:41:12,910.9172077922077
2016-07-20 23:59:18,891.4366883116883
2016-07-21 02:17:25,881.6964285714286
2016-07-21 04:35:31,865.4626623376623
2016-07-21 05:44:34,852.4756493506493
2016-07-21 06:53:37,845.9821428571429
2016-07-21 09:11:44,839.4886363636364
2016-07-21 10:20:47,829.7483766233767
2016-07-21 11:29:50,826.5016233766233
2016-07-21 12:38:53,813.5146103896104
2016-07-21 13:47:56,807.0211038961039
2016-07-21 16:06:03,800.5275974025974
2016-07-21 17:15:06,787.5405844155844
2016-07-21 18:24:09,781.047077922078
2016-07-21 19:33:12,777.8003246753246
2016-07-21 20:42:15,768.0600649350649
2016-07-21 21:51:18,761.5665584415584
2016-07-21 23:00:22,755.073051948052
2016-07-22 00:09:25,748.5795454545454
2016-07-22 01:18:28,738.8392857142857
2016-07-22 03:36:34,732.3457792207793
2016-07-22 04:45:37,722.6055194805194
2016-07-22 05:54:41,716.112012987013
2016-07-22 08:12:47,703.125
2016-07-22 10:30:53,696.6314935064936
2016-07-22 12:49:00,680.3977272727273
2016-07-22 13:58:03,664.163961038961
2016-07-22 15:07:06,657.6704545454546
2016-07-22 17:25:12,651.176948051948
2016-07-22 19:43:18,631.6964285714286
2016-07-22 22:01:25,615.4626623376623
2016-07-23 00:19:31,605.7224025974026
2016-07-23 01:28:34,595.9821428571429
2016-07-23 03:46:41,586.2418831168831
2016-07-23 04:55:44,576.5016233766233
2016-07-23 07:13:50,570.0081168831169
2016-07-23 09:31:56,557.0211038961039
2016-07-23 11:50:03,547.2808441558441
2016-07-23 14:08:09,534.2938311688313
2016-07-23 16:26:15,521.3068181818182
2016-07-23 18:44:22,514.8133116883117
2016-07-23 21:02:28,501.8262987012987
2016-07-23 23:20:34,495.3327922077922
2016-07-24 02:47:44,475.8522727272727
2016-07-24 06:14:53,466.112012987013
2016-07-24 10:51:06,449.8782467532468
2016-07-24 14:18:15,443.3847402597403
2016-07-24 16:36:22,436.89123376623377
2016-07-24 18:54:28,430.3977272727273
2016-07-24 21:12:34,423.9042207792208
2016-07-24 22:21:37,417.4107142857143
2016-07-25 01:48:47,410.9172077922078
2016-07-25 04:06:53,404.4237012987013
2016-07-25 05:15:56,401.17694805194805
2016-07-25 07:34:03,397.9301948051948
2016-07-25 09:52:09,391.43668831168833
2016-07-25 12:10:15,384.9431818181818
2016-07-25 16:46:28,375.20292207792204
2016-07-25 17:55:31,371.95616883116884
2016-07-25 20:13:37,365.4626623376623
2016-07-25 23:40:47,358.96915584415586
2016-07-26 04:17:00,352.47564935064935
2016-07-26 10:02:15,339.4886363636364
2016-07-26 15:47:31,332.99512987012986
2016-07-26 20:23:44,323.25487012987014
2016-07-26 22:41:50,316.7613636363636
2016-07-27 00:59:56,313.51461038961037
2016-07-27 03:18:03,310.26785714285717
2016-07-27 06:45:12,303.77435064935065
2016-07-27 12:30:28,294.0340909090909
2016-07-27 15:57:37,287.54058441558436
2016-07-27 21:42:53,284.29383116883116
2016-07-28 03:28:09,274.55357142857144
2016-07-28 09:13:25,268.06006493506493
2016-07-28 14:58:41,255.07305194805195
2016-07-28 20:43:56,251.8262987012987
2016-07-29 02:29:12,242.08603896103898
2016-07-29 07:05:25,235.59253246753246
2016-07-29 10:32:34,229.09902597402598
2016-07-29 12:50:41,225.85227272727275
2016-07-29 16:17:50,222.6055194805195
2016-07-29 18:35:56,219.35876623376623
2016-07-29 22:03:06,216.112012987013
2016-07-30 02:39:18,206.37175324675326
2016-07-30 07:15:31,199.87824675324674
2016-07-30 11:51:44,190.137987012987
2016-07-30 16:27:56,183.6444805194805
2016-07-30 21:04:09,173.90422077922076
2016-07-31 03:58:28,164.16396103896102
2016-07-31 08:34:41,154.4237012987013
2016-07-31 13:10:53,147.93019480519482
2016-07-31 18:56:09,141.43668831168833
2016-07-31 23:32:22,134.9431818181818
2016-08-01 04:08:34,128.44967532467533
2016-08-01 11:02:53,118.70941558441558
2016-08-01 14:30:03,112.2159090909091
2016-08-01 19:06:15,105.72240259740259
2016-08-01 21:24:22,102.47564935064935
2016-08-01 23:42:28,99.22889610389609
2016-08-02 04:18:41,92.73538961038962
2016-08-02 08:54:53,82.99512987012987
2016-08-02 13:31:06,76.50162337662337
2016-08-02 18:07:18,73.25487012987013
2016-08-02 21:34:28,66.76136363636363
2016-08-03 01:01:37,60.267857142857146
2016-08-03 05:37:50,53.77435064935065
2016-08-03 11:23:06,50.5275974025974
2016-08-03 14:50:15,50.5275974025974
2016-08-03 19:26:28,47.28084415584415
2016-08-03 22:53:37,40.78733766233766
2016-08-04 02:20:47,37.54058441558442
2016-08-04 06:57:00,34.29383116883117
2016-08-04 10:24:09,31.047077922077925
2016-08-04 15:00:22,27.800324675324674
2016-08-04 20:45:37,24.553571428571427
2016-08-04 23:03:44,24.553571428571427
2016-08-05 04:49:00,21.30681818181818
2016-08-05 08:16:09,21.30681818181818
2016-08-05 12:52:22,21.30681818181818
2016-08-05 16:19:31,21.30681818181818
2016-08-05 20:55:44,21.30681818181818
2016-08-06 02:41:00,21.30681818181818
2016-08-06 08:26:15,21.30681818181818
2016-08-06 14:11:31,21.30681818181818
2016-08-06 21:05:50,21.30681818181818
2016-08-07 01:42:03,21.30681818181818
